fips,county,date,report_median,group
26107,Mecosta,2020-04-29,1,5%
26109,Menominee,2020-04-29,0,5%
26111,Midland,2020-04-29,0,5%
26113,Missaukee,2020-04-29,0,5%
26115,Monroe,2020-04-29,3,5%
26117,Montcalm,2020-04-29,84,5%
26119,Montmorency,2020-04-29,0,5%
26121,Muskegon,2020-04-29,1,5%
26123,Newaygo,2020-04-29,0,5%
26125,Oakland,2020-04-29,427,5%
26127,Oceana,2020-04-29,0,5%
26129,Ogemaw,2020-04-29,0,5%
26131,Ontonagon,2020-04-29,0,5%
26133,Osceola,2020-04-29,0,5%
26135,Oscoda,2020-04-29,0,5%
26137,Otsego,2020-04-29,0,5%
26139,Ottawa,2020-04-29,7,5%
26141,Presque Isle,2020-04-29,0,5%
26143,Roscommon,2020-04-29,0,5%
26145,Saginaw,2020-04-29,0,5%
26147,St. Clair,2020-04-29,110,5%
26149,St. Joseph,2020-04-29,0,5%
26151,Sanilac,2020-04-29,0,5%
26153,Schoolcraft,2020-04-29,0,5%
26155,Shiawassee,2020-04-29,0,5%
26157,Tuscola,2020-04-29,0,5%
26159,Van Buren,2020-04-29,0,5%
26161,Washtenaw,2020-04-29,231,5%
26163,Wayne,2020-04-29,617,5%
26165,Wexford,2020-04-29,0,5%
26001,Alcona,2020-04-30,0,5%
26003,Alger,2020-04-30,0,5%
26005,Allegan,2020-04-30,2,5%
26007,Alpena,2020-04-30,0,5%
26009,Antrim,2020-04-30,0,5%
26011,Arenac,2020-04-30,0,5%
26013,Baraga,2020-04-30,0,5%
26015,Barry,2020-04-30,1,5%
26017,Bay,2020-04-30,0,5%
26019,Benzie,2020-04-30,0,5%
26021,Berrien,2020-04-30,1,5%
26023,Branch,2020-04-30,0,5%
26025,Calhoun,2020-04-30,0,5%
26027,Cass,2020-04-30,0,5%
26029,Charlevoix,2020-04-30,0,5%
26031,Cheboygan,2020-04-30,0,5%
26033,Chippewa,2020-04-30,0,5%
26035,Clare,2020-04-30,0,5%
26037,Clinton,2020-04-30,3,5%
26039,Crawford,2020-04-30,0,5%
26041,Delta,2020-04-30,0,5%
26043,Dickinson,2020-04-30,0,5%
26045,Eaton,2020-04-30,4,5%
26047,Emmet,2020-04-30,0,5%
26049,Genesee,2020-04-30,4,5%
26051,Gladwin,2020-04-30,0,5%
26053,Gogebic,2020-04-30,0,5%
26055,Grand Traverse,2020-04-30,0,5%
26057,Gratiot,2020-04-30,0,5%
26059,Hillsdale,2020-04-30,0,5%
26061,Houghton,2020-04-30,0,5%
26063,Huron,2020-04-30,0,5%
26065,Ingham,2020-04-30,123,5%
26067,Ionia,2020-04-30,3,5%
26069,Iosco,2020-04-30,0,5%
26071,Iron,2020-04-30,0,5%
26073,Isabella,2020-04-30,0,5%
26075,Jackson,2020-04-30,3,5%
26077,Kalamazoo,2020-04-30,0,5%
26079,Kalkaska,2020-04-30,0,5%
26081,Kent,2020-04-30,342,5%
26083,Keweenaw,2020-04-30,0,5%
26085,Lake,2020-04-30,0,5%
26087,Lapeer,2020-04-30,1,5%
26089,Leelanau,2020-04-30,0,5%
26091,Lenawee,2020-04-30,2,5%
26093,Livingston,2020-04-30,10,5%
26095,Luce,2020-04-30,0,5%
26097,Mackinac,2020-04-30,0,5%
26099,Macomb,2020-04-30,31,5%
26101,Manistee,2020-04-30,0,5%
26103,Marquette,2020-04-30,0,5%
26105,Mason,2020-04-30,0,5%
26107,Mecosta,2020-04-30,1,5%
26109,Menominee,2020-04-30,0,5%
26111,Midland,2020-04-30,0,5%
26113,Missaukee,2020-04-30,0,5%
26115,Monroe,2020-04-30,3,5%
26117,Montcalm,2020-04-30,98,5%
26119,Montmorency,2020-04-30,0,5%
26121,Muskegon,2020-04-30,1,5%
26123,Newaygo,2020-04-30,1,5%
26125,Oakland,2020-04-30,476,5%
26127,Oceana,2020-04-30,0,5%
26129,Ogemaw,2020-04-30,0,5%
26131,Ontonagon,2020-04-30,0,5%
26133,Osceola,2020-04-30,0,5%
26135,Oscoda,2020-04-30,0,5%
26137,Otsego,2020-04-30,0,5%
26139,Ottawa,2020-04-30,9,5%
26141,Presque Isle,2020-04-30,0,5%
26143,Roscommon,2020-04-30,0,5%
26145,Saginaw,2020-04-30,0,5%
26147,St. Clair,2020-04-30,116,5%
26149,St. Joseph,2020-04-30,0,5%
26151,Sanilac,2020-04-30,0,5%
26153,Schoolcraft,2020-04-30,0,5%
26155,Shiawassee,2020-04-30,1,5%
26157,Tuscola,2020-04-30,0,5%
26159,Van Buren,2020-04-30,0,5%
26161,Washtenaw,2020-04-30,266,5%
26163,Wayne,2020-04-30,708,5%
26165,Wexford,2020-04-30,0,5%
26001,Alcona,2020-05-01,0,5%
26003,Alger,2020-05-01,0,5%
26005,Allegan,2020-05-01,3,5%
26007,Alpena,2020-05-01,0,5%
26009,Antrim,2020-05-01,0,5%
26011,Arenac,2020-05-01,0,5%
26013,Baraga,2020-05-01,0,5%
26015,Barry,2020-05-01,1,5%
26017,Bay,2020-05-01,0,5%
26019,Benzie,2020-05-01,0,5%
26021,Berrien,2020-05-01,1,5%
26023,Branch,2020-05-01,0,5%
26025,Calhoun,2020-05-01,0,5%
26027,Cass,2020-05-01,0,5%
26029,Charlevoix,2020-05-01,0,5%
26031,Cheboygan,2020-05-01,0,5%
26033,Chippewa,2020-05-01,0,5%
26035,Clare,2020-05-01,0,5%
26037,Clinton,2020-05-01,3,5%
26039,Crawford,2020-05-01,0,5%
26041,Delta,2020-05-01,0,5%
26043,Dickinson,2020-05-01,0,5%
26045,Eaton,2020-05-01,4,5%
26047,Emmet,2020-05-01,0,5%
26049,Genesee,2020-05-01,5,5%
26051,Gladwin,2020-05-01,0,5%
26053,Gogebic,2020-05-01,0,5%
26055,Grand Traverse,2020-05-01,0,5%
26057,Gratiot,2020-05-01,1,5%
26059,Hillsdale,2020-05-01,0,5%
26061,Houghton,2020-05-01,0,5%
26063,Huron,2020-05-01,0,5%
26065,Ingham,2020-05-01,144,5%
26067,Ionia,2020-05-01,3,5%
26069,Iosco,2020-05-01,0,5%
26071,Iron,2020-05-01,0,5%
26073,Isabella,2020-05-01,0,5%
26075,Jackson,2020-05-01,3,5%
26077,Kalamazoo,2020-05-01,0,5%
26079,Kalkaska,2020-05-01,0,5%
26081,Kent,2020-05-01,384,5%
26083,Keweenaw,2020-05-01,0,5%
26085,Lake,2020-05-01,0,5%
26087,Lapeer,2020-05-01,1,5%
26089,Leelanau,2020-05-01,0,5%
26091,Lenawee,2020-05-01,3,5%
26093,Livingston,2020-05-01,10,5%
26095,Luce,2020-05-01,0,5%
26097,Mackinac,2020-05-01,0,5%
26099,Macomb,2020-05-01,39,5%
26101,Manistee,2020-05-01,0,5%
26103,Marquette,2020-05-01,0,5%
26105,Mason,2020-05-01,0,5%
26107,Mecosta,2020-05-01,1,5%
26109,Menominee,2020-05-01,0,5%
26111,Midland,2020-05-01,0,5%
26113,Missaukee,2020-05-01,0,5%
26115,Monroe,2020-05-01,4,5%
26117,Montcalm,2020-05-01,100,5%
26119,Montmorency,2020-05-01,0,5%
26121,Muskegon,2020-05-01,1,5%
26123,Newaygo,2020-05-01,0,5%
26125,Oakland,2020-05-01,554,5%
26127,Oceana,2020-05-01,0,5%
26129,Ogemaw,2020-05-01,0,5%
26131,Ontonagon,2020-05-01,0,5%
26133,Osceola,2020-05-01,0,5%
26135,Oscoda,2020-05-01,0,5%
26137,Otsego,2020-05-01,0,5%
26139,Ottawa,2020-05-01,10,5%
26141,Presque Isle,2020-05-01,0,5%
26143,Roscommon,2020-05-01,0,5%
26145,Saginaw,2020-05-01,0,5%
26147,St. Clair,2020-05-01,134,5%
26149,St. Joseph,2020-05-01,0,5%
26151,Sanilac,2020-05-01,1,5%
26153,Schoolcraft,2020-05-01,0,5%
26155,Shiawassee,2020-05-01,1,5%
26157,Tuscola,2020-05-01,0,5%
26159,Van Buren,2020-05-01,0,5%
26161,Washtenaw,2020-05-01,298,5%
26163,Wayne,2020-05-01,843,5%
26165,Wexford,2020-05-01,0,5%
26001,Alcona,2020-05-02,0,5%
26003,Alger,2020-05-02,0,5%
26005,Allegan,2020-05-02,2,5%
26007,Alpena,2020-05-02,0,5%
26009,Antrim,2020-05-02,0,5%
26011,Arenac,2020-05-02,0,5%
26013,Baraga,2020-05-02,0,5%
26015,Barry,2020-05-02,1,5%
26017,Bay,2020-05-02,0,5%
26019,Benzie,2020-05-02,0,5%
26021,Berrien,2020-05-02,2,5%
26023,Branch,2020-05-02,0,5%
26025,Calhoun,2020-05-02,0,5%
26027,Cass,2020-05-02,1,5%
26029,Charlevoix,2020-05-02,0,5%
26031,Cheboygan,2020-05-02,0,5%
26033,Chippewa,2020-05-02,0,5%
26035,Clare,2020-05-02,0,5%
26037,Clinton,2020-05-02,4,5%
26039,Crawford,2020-05-02,0,5%
26041,Delta,2020-05-02,0,5%
26043,Dickinson,2020-05-02,0,5%
26045,Eaton,2020-05-02,6,5%
26047,Emmet,2020-05-02,0,5%
26049,Genesee,2020-05-02,6,5%
26051,Gladwin,2020-05-02,0,5%
26053,Gogebic,2020-05-02,0,5%
26055,Grand Traverse,2020-05-02,0,5%
26057,Gratiot,2020-05-02,1,5%
26059,Hillsdale,2020-05-02,0,5%
26061,Houghton,2020-05-02,0,5%
26063,Huron,2020-05-02,0,5%
26065,Ingham,2020-05-02,160,5%
26067,Ionia,2020-05-02,4,5%
26069,Iosco,2020-05-02,0,5%
26071,Iron,2020-05-02,0,5%
26073,Isabella,2020-05-02,0,5%
26075,Jackson,2020-05-02,4,5%
26077,Kalamazoo,2020-05-02,0,5%
26079,Kalkaska,2020-05-02,0,5%
26081,Kent,2020-05-02,427,5%
26083,Keweenaw,2020-05-02,0,5%
26085,Lake,2020-05-02,0,5%
26087,Lapeer,2020-05-02,2,5%
26089,Leelanau,2020-05-02,0,5%
26091,Lenawee,2020-05-02,3,5%
26093,Livingston,2020-05-02,13,5%
26095,Luce,2020-05-02,0,5%
26097,Mackinac,2020-05-02,0,5%
26099,Macomb,2020-05-02,47,5%
26101,Manistee,2020-05-02,0,5%
26103,Marquette,2020-05-02,0,5%
26105,Mason,2020-05-02,0,5%
26107,Mecosta,2020-05-02,1,5%
26109,Menominee,2020-05-02,0,5%
26111,Midland,2020-05-02,0,5%
26113,Missaukee,2020-05-02,0,5%
26115,Monroe,2020-05-02,4,5%
26117,Montcalm,2020-05-02,110,5%
26119,Montmorency,2020-05-02,0,5%
26121,Muskegon,2020-05-02,1,5%
26123,Newaygo,2020-05-02,1,5%
26125,Oakland,2020-05-02,618,5%
26127,Oceana,2020-05-02,0,5%
26129,Ogemaw,2020-05-02,0,5%
26131,Ontonagon,2020-05-02,0,5%
26133,Osceola,2020-05-02,0,5%
26135,Oscoda,2020-05-02,0,5%
26137,Otsego,2020-05-02,0,5%
26139,Ottawa,2020-05-02,14,5%
26141,Presque Isle,2020-05-02,0,5%
26143,Roscommon,2020-05-02,0,5%
26145,Saginaw,2020-05-02,0,5%
26147,St. Clair,2020-05-02,151,5%
26149,St. Joseph,2020-05-02,0,5%
26151,Sanilac,2020-05-02,1,5%
26153,Schoolcraft,2020-05-02,0,5%
26155,Shiawassee,2020-05-02,1,5%
26157,Tuscola,2020-05-02,0,5%
26159,Van Buren,2020-05-02,0,5%
26161,Washtenaw,2020-05-02,314,5%
26163,Wayne,2020-05-02,897,5%
26165,Wexford,2020-05-02,0,5%
26001,Alcona,2020-05-03,0,5%
26003,Alger,2020-05-03,0,5%
26005,Allegan,2020-05-03,3,5%
26007,Alpena,2020-05-03,0,5%
26009,Antrim,2020-05-03,0,5%
26011,Arenac,2020-05-03,0,5%
26013,Baraga,2020-05-03,0,5%
26015,Barry,2020-05-03,2,5%
26017,Bay,2020-05-03,0,5%
26019,Benzie,2020-05-03,0,5%
26021,Berrien,2020-05-03,2,5%
26023,Branch,2020-05-03,0,5%
26025,Calhoun,2020-05-03,0,5%
26027,Cass,2020-05-03,0,5%
26029,Charlevoix,2020-05-03,0,5%
26031,Cheboygan,2020-05-03,0,5%
26033,Chippewa,2020-05-03,0,5%
26035,Clare,2020-05-03,0,5%
26037,Clinton,2020-05-03,5,5%
26039,Crawford,2020-05-03,0,5%
26041,Delta,2020-05-03,0,5%
26043,Dickinson,2020-05-03,0,5%
26045,Eaton,2020-05-03,6,5%
26047,Emmet,2020-05-03,0,5%
26049,Genesee,2020-05-03,6,5%
26051,Gladwin,2020-05-03,0,5%
26053,Gogebic,2020-05-03,0,5%
26055,Grand Traverse,2020-05-03,0,5%
26057,Gratiot,2020-05-03,1,5%
26059,Hillsdale,2020-05-03,0,5%
26061,Houghton,2020-05-03,0,5%
26063,Huron,2020-05-03,0,5%
26065,Ingham,2020-05-03,169,5%
26067,Ionia,2020-05-03,4,5%
26069,Iosco,2020-05-03,0,5%
26071,Iron,2020-05-03,0,5%
26073,Isabella,2020-05-03,1,5%
26075,Jackson,2020-05-03,4,5%
26077,Kalamazoo,2020-05-03,1,5%
26079,Kalkaska,2020-05-03,0,5%
26081,Kent,2020-05-03,465,5%
26083,Keweenaw,2020-05-03,0,5%
26085,Lake,2020-05-03,0,5%
26087,Lapeer,2020-05-03,2,5%
26089,Leelanau,2020-05-03,0,5%
26091,Lenawee,2020-05-03,3,5%
26093,Livingston,2020-05-03,15,5%
26095,Luce,2020-05-03,0,5%
26097,Mackinac,2020-05-03,0,5%
26099,Macomb,2020-05-03,49,5%
26101,Manistee,2020-05-03,0,5%
26103,Marquette,2020-05-03,0,5%
26105,Mason,2020-05-03,0,5%
26107,Mecosta,2020-05-03,1,5%
26109,Menominee,2020-05-03,0,5%
26111,Midland,2020-05-03,0,5%
26113,Missaukee,2020-05-03,0,5%
26115,Monroe,2020-05-03,5,5%
26117,Montcalm,2020-05-03,114,5%
26119,Montmorency,2020-05-03,0,5%
26121,Muskegon,2020-05-03,1,5%
26123,Newaygo,2020-05-03,1,5%
26125,Oakland,2020-05-03,676,5%
26127,Oceana,2020-05-03,0,5%
26129,Ogemaw,2020-05-03,0,5%
26131,Ontonagon,2020-05-03,0,5%
26133,Osceola,2020-05-03,0,5%
26135,Oscoda,2020-05-03,0,5%
26137,Otsego,2020-05-03,0,5%
26139,Ottawa,2020-05-03,14,5%
26141,Presque Isle,2020-05-03,0,5%
26143,Roscommon,2020-05-03,0,5%
26145,Saginaw,2020-05-03,0,5%
26147,St. Clair,2020-05-03,154,5%
26149,St. Joseph,2020-05-03,0,5%
26151,Sanilac,2020-05-03,1,5%
26153,Schoolcraft,2020-05-03,0,5%
26155,Shiawassee,2020-05-03,1,5%
26157,Tuscola,2020-05-03,0,5%
26159,Van Buren,2020-05-03,0,5%
26161,Washtenaw,2020-05-03,355,5%
26163,Wayne,2020-05-03,1023,5%
26165,Wexford,2020-05-03,0,5%
26001,Alcona,2020-05-04,0,5%
26003,Alger,2020-05-04,0,5%
26005,Allegan,2020-05-04,4,5%
26007,Alpena,2020-05-04,0,5%
26009,Antrim,2020-05-04,0,5%
26011,Arenac,2020-05-04,0,5%
26013,Baraga,2020-05-04,0,5%
26015,Barry,2020-05-04,1,5%
26017,Bay,2020-05-04,0,5%
26019,Benzie,2020-05-04,0,5%
26021,Berrien,2020-05-04,2,5%
26023,Branch,2020-05-04,0,5%
26025,Calhoun,2020-05-04,0,5%
26027,Cass,2020-05-04,1,5%
26029,Charlevoix,2020-05-04,0,5%
26031,Cheboygan,2020-05-04,0,5%
26033,Chippewa,2020-05-04,0,5%
26035,Clare,2020-05-04,0,5%
26037,Clinton,2020-05-04,6,5%
26039,Crawford,2020-05-04,0,5%
26041,Delta,2020-05-04,0,5%
26043,Dickinson,2020-05-04,0,5%
26045,Eaton,2020-05-04,8,5%
26047,Emmet,2020-05-04,0,5%
26049,Genesee,2020-05-04,8,5%
26051,Gladwin,2020-05-04,0,5%
26053,Gogebic,2020-05-04,0,5%
26055,Grand Traverse,2020-05-04,0,5%
26057,Gratiot,2020-05-04,1,5%
26059,Hillsdale,2020-05-04,0,5%
26061,Houghton,2020-05-04,0,5%
26063,Huron,2020-05-04,0,5%
26065,Ingham,2020-05-04,206,5%
26067,Ionia,2020-05-04,5,5%
26069,Iosco,2020-05-04,0,5%
26071,Iron,2020-05-04,0,5%
26073,Isabella,2020-05-04,1,5%
26075,Jackson,2020-05-04,5,5%
26077,Kalamazoo,2020-05-04,1,5%
26079,Kalkaska,2020-05-04,0,5%
26081,Kent,2020-05-04,518,5%
26083,Keweenaw,2020-05-04,0,5%
26085,Lake,2020-05-04,0,5%
26087,Lapeer,2020-05-04,2,5%
26089,Leelanau,2020-05-04,0,5%
26091,Lenawee,2020-05-04,4,5%
26093,Livingston,2020-05-04,17,5%
26095,Luce,2020-05-04,0,5%
26097,Mackinac,2020-05-04,0,5%
26099,Macomb,2020-05-04,58,5%
26101,Manistee,2020-05-04,0,5%
26103,Marquette,2020-05-04,0,5%
26105,Mason,2020-05-04,0,5%
26107,Mecosta,2020-05-04,1,5%
26109,Menominee,2020-05-04,0,5%
26111,Midland,2020-05-04,0,5%
26113,Missaukee,2020-05-04,0,5%
26115,Monroe,2020-05-04,6,5%
26117,Montcalm,2020-05-04,119,5%
26119,Montmorency,2020-05-04,0,5%
26121,Muskegon,2020-05-04,2,5%
26123,Newaygo,2020-05-04,1,5%
26125,Oakland,2020-05-04,781,5%
26127,Oceana,2020-05-04,0,5%
26129,Ogemaw,2020-05-04,0,5%
26131,Ontonagon,2020-05-04,0,5%
26133,Osceola,2020-05-04,0,5%
26135,Oscoda,2020-05-04,0,5%
26137,Otsego,2020-05-04,0,5%
26139,Ottawa,2020-05-04,16,5%
26141,Presque Isle,2020-05-04,0,5%
26143,Roscommon,2020-05-04,0,5%
26145,Saginaw,2020-05-04,0,5%
26147,St. Clair,2020-05-04,173,5%
26149,St. Joseph,2020-05-04,0,5%
26151,Sanilac,2020-05-04,1,5%
26153,Schoolcraft,2020-05-04,0,5%
26155,Shiawassee,2020-05-04,1,5%
26157,Tuscola,2020-05-04,0,5%
26159,Van Buren,2020-05-04,0,5%
26161,Washtenaw,2020-05-04,386,5%
26163,Wayne,2020-05-04,1116,5%
26165,Wexford,2020-05-04,0,5%
26001,Alcona,2020-05-05,0,5%
26003,Alger,2020-05-05,0,5%
26005,Allegan,2020-05-05,4,5%
26007,Alpena,2020-05-05,0,5%
26009,Antrim,2020-05-05,0,5%
26011,Arenac,2020-05-05,0,5%
26013,Baraga,2020-05-05,0,5%
26015,Barry,2020-05-05,2,5%
26017,Bay,2020-05-05,0,5%
26019,Benzie,2020-05-05,0,5%
26021,Berrien,2020-05-05,2,5%
26023,Branch,2020-05-05,0,5%
26025,Calhoun,2020-05-05,0,5%
26027,Cass,2020-05-05,1,5%
26029,Charlevoix,2020-05-05,0,5%
26031,Cheboygan,2020-05-05,0,5%
26033,Chippewa,2020-05-05,0,5%
26035,Clare,2020-05-05,0,5%
26037,Clinton,2020-05-05,6,5%
26039,Crawford,2020-05-05,0,5%
26041,Delta,2020-05-05,0,5%
26043,Dickinson,2020-05-05,0,5%
26045,Eaton,2020-05-05,9,5%
26047,Emmet,2020-05-05,0,5%
26049,Genesee,2020-05-05,9,5%
26051,Gladwin,2020-05-05,0,5%
26053,Gogebic,2020-05-05,0,5%
26055,Grand Traverse,2020-05-05,0,5%
26057,Gratiot,2020-05-05,1,5%
26059,Hillsdale,2020-05-05,0,5%
26061,Houghton,2020-05-05,0,5%
26063,Huron,2020-05-05,0,5%
26065,Ingham,2020-05-05,233,5%
26067,Ionia,2020-05-05,6,5%
26069,Iosco,2020-05-05,0,5%
26071,Iron,2020-05-05,0,5%
26073,Isabella,2020-05-05,1,5%
26075,Jackson,2020-05-05,6,5%
26077,Kalamazoo,2020-05-05,1,5%
26079,Kalkaska,2020-05-05,0,5%
26081,Kent,2020-05-05,586,5%
26083,Keweenaw,2020-05-05,0,5%
26085,Lake,2020-05-05,0,5%
26087,Lapeer,2020-05-05,2,5%
26089,Leelanau,2020-05-05,0,5%
26091,Lenawee,2020-05-05,4,5%
26093,Livingston,2020-05-05,16,5%
26095,Luce,2020-05-05,0,5%
26097,Mackinac,2020-05-05,0,5%
26099,Macomb,2020-05-05,68,5%
26101,Manistee,2020-05-05,0,5%
26103,Marquette,2020-05-05,0,5%
26105,Mason,2020-05-05,0,5%
26107,Mecosta,2020-05-05,2,5%
26109,Menominee,2020-05-05,0,5%
26111,Midland,2020-05-05,0,5%
26113,Missaukee,2020-05-05,0,5%
26115,Monroe,2020-05-05,8,5%
26117,Montcalm,2020-05-05,120,5%
26119,Montmorency,2020-05-05,0,5%
26121,Muskegon,2020-05-05,2,5%
26123,Newaygo,2020-05-05,2,5%
26125,Oakland,2020-05-05,868,5%
26127,Oceana,2020-05-05,0,5%
26129,Ogemaw,2020-05-05,0,5%
26131,Ontonagon,2020-05-05,0,5%
26133,Osceola,2020-05-05,0,5%
26135,Oscoda,2020-05-05,0,5%
26137,Otsego,2020-05-05,0,5%
26139,Ottawa,2020-05-05,20,5%
26141,Presque Isle,2020-05-05,0,5%
26143,Roscommon,2020-05-05,0,5%
26145,Saginaw,2020-05-05,0,5%
26147,St. Clair,2020-05-05,196,5%
26149,St. Joseph,2020-05-05,0,5%
26151,Sanilac,2020-05-05,1,5%
26153,Schoolcraft,2020-05-05,0,5%
26155,Shiawassee,2020-05-05,2,5%
26157,Tuscola,2020-05-05,0,5%
26159,Van Buren,2020-05-05,0,5%
26161,Washtenaw,2020-05-05,423,5%
26163,Wayne,2020-05-05,1298,5%
26165,Wexford,2020-05-05,0,5%
26001,Alcona,2020-05-06,0,5%
26003,Alger,2020-05-06,0,5%
26005,Allegan,2020-05-06,5,5%
26007,Alpena,2020-05-06,0,5%
26009,Antrim,2020-05-06,0,5%
26011,Arenac,2020-05-06,0,5%
26013,Baraga,2020-05-06,0,5%
26015,Barry,2020-05-06,2,5%
26017,Bay,2020-05-06,0,5%
26019,Benzie,2020-05-06,0,5%
26021,Berrien,2020-05-06,3,5%
26023,Branch,2020-05-06,0,5%
26025,Calhoun,2020-05-06,0,5%
26027,Cass,2020-05-06,1,5%
26029,Charlevoix,2020-05-06,0,5%
26031,Cheboygan,2020-05-06,0,5%
26033,Chippewa,2020-05-06,0,5%
26035,Clare,2020-05-06,0,5%
